Date,Close,High,Low,Open,Volume
,CI,CI,CI,CI,CI
2021-03-15,224.306396484375,226.26173291693772,222.11348682164788,222.36932419098574,1955200
2021-03-16,220.83428955078125,224.29723988505617,220.77032324042077,224.29723988505617,1549700
2021-03-17,221.03533935546875,223.109448670398,218.97949418155665,221.1632580530507,1772400
2021-03-18,222.78048706054688,226.95612904076157,221.0627100492771,221.0627100492771,2015800
2021-03-19,222.2688751220703,225.46685703645937,221.15414888225854,222.54299064600832,5060200
2021-03-22,221.48306274414062,222.3693616164031,218.3764576267068,222.26885306566942,1433500
2021-03-23,217.86476135253906,223.0637674391833,216.9144962496871,221.66579387976302,1559300
2021-03-24,219.78355407714844,222.9632713971406,217.9835601955633,218.367316297888,1804500
2021-03-25,220.5601806640625,220.8891164106099,215.324632811766,219.54596327404886,1733900
2021-03-26,222.7439727783203,222.94498986815898,219.6190897573177,222.1957418165616,1649100
2021-03-29,226.18865966796875,227.3673381118145,221.13585014894343,221.26376884782664,1802700
2021-03-30,224.58966064453125,227.07495008117047,222.66173421997857,225.39371503255546,1765700
2021-03-31,220.88002014160156,225.05566304936022,220.53280625783293,223.48408244358734,2151600
2021-04-01,220.96224975585938,222.53383035558537,217.61807146048247,221.4373823409631,1298600
2021-04-05,222.34193420410156,224.05057943395943,220.68812322300977,222.41503259369745,1149800
2021-04-06,218.4951934814453,223.1185578564947,218.11143745203978,221.78453685153153,1391100
2021-04-07,219.49114990234375,221.1084185357644,218.51347470126453,219.50942798386527,1358800
2021-04-08,217.691162109375,220.17645162322088,217.34394823929443,218.90639671256446,1692800
2021-04-09,224.86378479003906,224.90945908520965,217.78254021912352,219.08000529325952,1654600
2021-04-12,224.6079559326172,227.05668939159756,224.37952867970813,224.44348106063427,2127200
2021-04-13,224.0962371826172,226.28914688230984,224.04141687999083,224.8363530943466,1423500
2021-04-14,227.91555786132812,228.71962618166106,224.41605098435963,224.41605098435963,1169100
2021-04-15,232.41104125976562,233.8090150314644,227.9155942763684,228.00695681876337,1670000
2021-04-16,230.77548217773438,233.37041231691907,228.79272143578012,232.78563913143952,1542900
2021-04-19,230.702392578125,232.59376297585464,229.587666472374,231.62523365756775,1321600
2021-04-20,231.50645446777344,232.53895014205483,229.49629737284235,230.3643181704156,1049000
2021-04-21,231.1683807373047,234.5856435296122,230.72980431400023,232.9957987668486,1447500
2021-04-22,230.748046875,231.14094896449373,226.60894654056483,230.25465018768963,1256600
2021-04-23,230.07191467285156,231.6252170877832,227.55921507919712,231.16836261620966,879200
2021-04-26,227.86074829101562,231.52471625588862,227.28510717619525,230.52877682079665,1133300
2021-04-27,228.82928466796875,229.31354932361128,226.10643574607613,227.27598215314785,1106600
2021-04-28,225.8140411376953,230.58360322113703,225.39372886422538,229.41405681942877,1213600
2021-04-29,228.64651489257812,229.72468467755888,226.73685273954186,227.61401939787302,1284600
2021-04-30,227.52264404296875,228.1987936358574,224.91858209045688,227.75107126382545,1428300
2021-05-03,230.30035400390625,232.36533130471716,228.42724778366167,228.88410227922898,1282600
2021-05-04,237.10743713378906,237.1165831448629,229.66071587964097,230.53786853314352,1873300
2021-05-05,236.1206817626953,237.54606550986514,234.0922467556945,236.49527789829295,1546700
2021-05-06,234.7592315673828,237.3907177794754,232.8861393916198,236.12067685099893,1709100
2021-05-07,238.64251708984375,240.91767152937115,233.92777516224442,234.7592537233007,1761000
2021-05-10,243.87806701660156,249.2689444177569,239.54709537756048,240.21408508658612,2517300
2021-05-11,238.3501434326172,243.14711622756235,235.67298245069125,242.7542280051341,1381400
2021-05-12,236.3947296142578,239.53788995428468,236.2211227205103,238.56936090715553,1750400
2021-05-13,241.21917724609375,242.8364321461413,237.24453749872436,237.9115551104769,1470500
2021-05-14,240.7805938720703,242.13289327660158,240.5247564586927,241.59380829427684,1103800
2021-05-17,241.8770294189453,242.76332819770974,239.9399709459799,241.28312419041288,813000
2021-05-18,240.46083068847656,242.13290603469218,239.1267953559718,241.51159055292155,710900
2021-05-19,239.77554321289062,239.95826829393502,236.04759464198423,237.86586674403566,869800
2021-05-20,238.16737365722656,240.61610690376955,237.0983219373148,240.0678759675118,917100
2021-05-21,239.61105346679688,242.58060789314925,237.99379847906016,239.07196847088466,1020900
2021-05-24,238.96231079101562,241.27399341794603,238.733883543753,240.66182401042605,954600
2021-05-25,237.1988525390625,239.55620939622517,236.67803173758057,239.0993549144027,1444700
2021-05-26,237.00698852539062,238.5420129378426,233.4800573208677,237.45469700797608,1245300
