ticker,week,weekly_close,weekly_return,next_week_return,lag1_return,news_count,fda_mention_count,regulatory_event_flag,week_start
ABBV,2025-12-01/2025-12-07,224.27552795410156,-0.0071146291517878435,-0.0122080230527426,-0.03631285807218987,0.0,0.0,0.0,2025-12-01
ABBV,2025-12-08/2025-12-14,221.53756713867188,-0.0122080230527426,0.015672561552746656,-0.0071146291517878435,0.0,0.0,0.0,2025-12-08
ABBV,2025-12-15/2025-12-21,225.00962829589844,0.015672561552746656,0.013931695495615015,-0.0122080230527426,0.0,0.0,0.0,2025-12-15
ABBV,2025-12-22/2025-12-28,228.14439392089844,0.013931695495615015,-0.0029132529735304002,0.015672561552746656,0.0,0.0,0.0,2025-12-22
ABBV,2025-12-29/2026-01-04,227.4797515869141,-0.0029132529735304002,-0.04025117062099015,0.013931695495615015,0.0,0.0,0.0,2025-12-29
ABBV,2026-01-05/2026-01-11,218.32342529296875,-0.04025117062099015,-0.018199692424764824,-0.0029132529735304002,0.0,0.0,0.0,2026-01-05
ABBV,2026-01-12/2026-01-18,214.3500061035156,-0.018199692424764824,0.022906406641057586,-0.04025117062099015,0.0,0.0,0.0,2026-01-12
ABBV,2026-01-19/2026-01-25,219.2599945068359,0.022906406641057586,0.017102983188677756,-0.018199692424764824,0.0,0.0,0.0,2026-01-19
ABBV,2026-01-26/2026-02-01,223.0099945068359,0.017102983188677756,0.0018833154535253804,0.022906406641057586,0.0,0.0,0.0,2026-01-26
ABBV,2026-02-02/2026-02-08,223.42999267578125,0.0018833154535253804,0.03611872885807732,0.017102983188677756,39.0,0.0,0.0,2026-02-02
ABBV,2026-02-09/2026-02-15,231.5,0.03611872885807732,-0.028898498666981687,0.0018833154535253804,32.0,0.0,0.0,2026-02-09
ABBV,2026-02-16/2026-02-22,224.80999755859375,-0.028898498666981687,0.03233843846542506,0.03611872885807732,26.0,0.0,0.0,2026-02-16
ABBV,2026-02-23/2026-03-01,232.0800018310547,0.03233843846542506,-0.00848845745070792,-0.028898498666981687,43.0,0.0,0.0,2026-02-23
ABBV,2026-03-02/2026-03-08,230.11000061035156,-0.00848845745070792,-0.045326182725241915,0.03233843846542506,12.0,0.0,0.0,2026-03-02
AMGN,2025-12-01/2025-12-07,327.619873046875,-0.04507026868742181,-0.03683050767885976,0.0234638256916766,0.0,0.0,0.0,2025-12-01
AMGN,2025-12-08/2025-12-14,315.553466796875,-0.03683050767885976,0.03033929410053493,-0.04507026868742181,0.0,0.0,0.0,2025-12-08
AMGN,2025-12-15/2025-12-21,325.12713623046875,0.03033929410053493,0.016952784583404545,-0.03683050767885976,0.0,0.0,0.0,2025-12-15
AMGN,2025-12-22/2025-12-28,330.6389465332031,0.016952784583404545,-0.01588914618717807,0.03033929410053493,0.0,0.0,0.0,2025-12-22
AMGN,2025-12-29/2026-01-04,325.3853759765625,-0.01588914618717807,-0.004700330925206275,0.016952784583404545,0.0,0.0,0.0,2025-12-29
AMGN,2026-01-05/2026-01-11,323.85595703125,-0.004700330925206275,0.0132167847455813,-0.01588914618717807,0.0,0.0,0.0,2026-01-05
AMGN,2026-01-12/2026-01-18,328.13629150390625,0.0132167847455813,0.04340066422565436,-0.004700330925206275,0.0,0.0,0.0,2026-01-12
AMGN,2026-01-19/2026-01-25,342.37762451171875,0.04340066422565436,-0.00832487300595508,0.0132167847455813,0.0,0.0,0.0,2026-01-19
AMGN,2026-01-26/2026-02-01,339.5273742675781,-0.00832487300595508,0.12413711651283132,0.04340066422565436,0.0,0.0,0.0,2026-01-26
